timestamp,value
2025-03-01T17:43:33Z,50
2025-03-01T17:44:33Z,50
2025-03-01T17:45:33Z,50
2025-03-01T17:46:33Z,50
2025-03-01T17:47:33Z,50
2025-03-01T17:48:33Z,50
2025-03-01T17:49:33Z,50
2025-03-01T17:50:33Z,50
2025-03-01T17:51:33Z,50
2025-03-01T17:52:33Z,50
2025-03-01T17:53:33Z,50
2025-03-01T17:54:33Z,50
2025-03-01T17:55:33Z,50
2025-03-01T17:56:33Z,50
2025-03-01T17:57:33Z,50
2025-03-01T17:58:33Z,50
2025-03-02T01:07:34Z,50
2025-03-02T01:08:34Z,82.4
2025-03-02T01:09:34Z,50
2025-03-02T01:10:34Z,83.6
2025-03-02T01:11:34Z,86.2
2025-03-02T01:12:34Z,87.5
2025-03-02T01:13:34Z,88.3
2025-03-02T01:14:34Z,88.7
2025-03-02T01:15:34Z,88.4
2025-03-02T01:16:34Z,87.5
2025-03-02T01:17:34Z,86.4
2025-03-02T01:18:34Z,85.9
2025-03-02T01:19:34Z,85.5
2025-03-02T01:20:34Z,84.7
2025-03-02T01:21:34Z,84.7
2025-03-02T01:22:34Z,84.2
2025-03-02T01:23:34Z,84.6
2025-03-02T01:24:34Z,84.7
2025-03-02T01:25:34Z,84.8
2025-03-02T01:26:34Z,84.9
2025-03-02T01:27:34Z,84.4
2025-03-02T01:28:34Z,84.2
2025-03-02T01:29:34Z,85.1
2025-03-02T01:30:34Z,85.3
2025-03-02T01:31:34Z,84.6
2025-03-02T01:32:34Z,84.7
2025-03-02T01:33:34Z,84.9
2025-03-02T01:34:34Z,84.7
2025-03-02T01:35:34Z,84.4
2025-03-02T01:36:34Z,84.6
2025-03-02T01:37:34Z,84.6
2025-03-02T01:38:34Z,85
2025-03-02T01:39:34Z,50
2025-03-02T01:40:34Z,86.5
2025-03-02T01:41:34Z,50
2025-03-02T01:42:34Z,90.5
2025-03-02T01:43:34Z,92.6
2025-03-02T01:44:34Z,93.7
2025-03-02T01:45:34Z,94.8
2025-03-02T01:46:34Z,95.5
2025-03-02T01:47:34Z,96
2025-03-02T01:48:34Z,96
2025-03-02T01:49:34Z,96
2025-03-02T01:50:34Z,50
2025-03-02T01:51:34Z,96
2025-03-02T01:52:34Z,95.5
2025-03-02T01:53:34Z,95.8
2025-03-02T01:54:34Z,95.5
2025-03-02T01:55:34Z,95.3
2025-03-02T01:56:34Z,95.5
2025-03-02T01:57:34Z,94.7
2025-03-02T01:58:34Z,93.6
2025-03-02T01:59:34Z,94.3
2025-03-02T02:00:34Z,93.3
2025-03-02T02:01:34Z,92.2
2025-03-02T02:02:34Z,91.9
2025-03-02T02:03:34Z,91.7
2025-03-02T02:04:34Z,91.4
2025-03-02T02:05:34Z,50
2025-03-02T02:06:34Z,50
2025-03-02T02:07:34Z,50
2025-03-02T02:08:34Z,92.2
2025-03-02T02:09:34Z,90.2
2025-03-02T02:10:34Z,50
2025-03-02T02:11:34Z,89.4
2025-03-02T02:12:34Z,88.1
2025-03-02T02:13:34Z,88.3
2025-03-02T02:14:34Z,50
2025-03-02T02:15:34Z,88.6
2025-03-02T02:16:34Z,88.8
2025-03-02T02:17:34Z,88.5
